timestamp,tipo_ataque,recuento
1788887432.9715104,Flood,2
1788887468.199724,Aimbot,4
1788887474.0460916,Flood,18
1788887479.477002,Flood,18
1788887485.0698276,Flood,18
1788887489.6599436,Flood,27
1788887494.1672287,Flood,27
1788887498.020897,Flood,9
1788887501.6765738,Flood,9
1788887506.267785,Flood,10
1788887510.0074422,Flood,10
1788887513.9218156,Flood,3
1788887517.5875642,Flood,1
1788887521.3601556,Flood,1
1788887525.2730503,Flood,1
1788887529.7463043,Flood,1
1788887533.9356542,Aimbot,34
1788887537.94693,Aimbot,34
1788887541.9927769,Aimbot,39
1788887546.547051,Aimbot,39
1788887550.7310524,Aimbot,39
1788887555.018845,Aimbot,39
1788887559.55514,Aimbot,39
1788887563.9359052,Aimbot,5
1788887623.3875945,Flood,17
